,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
报告期,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
    营业收入,"7,198,300","4,680,100","2,130,100","9,677,300","7,160,600","4,825,600","2,332,900","8,146,200","5,714,400","3,569,000","1,875,600","5,382,300","3,610,400","2,234,700","1,038,900","3,153,600","2,079,200","1,202,100","598,500","2,457,800","1,719,400","1,089,114","454,146","2,146,127","1,423,540","741,098","340,875","1,175,875","847,050","548,583","269,627","700,013","471,550","241,707","114,705","404,603","283,165","189,486","93,988","319,836"
        产品,"7,198,300","4,680,100","2,130,100","9,677,300","7,160,600","4,825,600","2,332,900","8,146,200","5,714,400","3,569,000","1,875,600","5,382,300","3,610,400","2,234,700","1,038,900","3,153,600","2,079,200","1,202,100","598,500","2,457,800","1,719,400","1,089,114","454,146","2,146,127","1,423,540","741,098","340,875","1,175,875","847,050","548,583","269,627","700,013","471,550","241,707","114,705","404,603","283,165","189,486","93,988","319,836"
            汽车销售,"5,382,100","3,499,000","1,646,000","7,850,900","5,787,900","3,929,700","1,887,800","6,721,000","4,696,900","2,918,400","1,551,400","4,412,500","2,910,000","1,770,700","818,700","2,460,400","1,597,100","902,200","453,900","1,935,800","1,334,800","834,957","329,276","1,721,290","1,123,422","554,541","248,155","817,445","612,564","404,891","203,506","528,671","435,664","220,792","102,606","357,227","262,397","177,141","89,332","297,642"
            汽车租赁,"138,000","93,400","47,600","212,000","162,000","113,100","56,400","247,600","187,700","125,600","66,800","164,200","101,400","62,900","29,700","105,200","77,200","50,700","23,900","86,900","64,400","42,348","21,512","88,346","63,371","41,325","17,344","110,655","81,346","52,730","25,454","76,176",,,,,,,,
            汽车监管信贷,"207,100","133,200","44,200","179,000","135,700","80,300","52,100","177,600","130,900","102,300","67,900","146,500","115,100","87,200","51,800","158,000","117,900","78,200","35,400","59,400","46,100","32,720","21,598","41,862","32,384","13,434","8,033","36,030",,,,"30,230",,,,"16,870",,,,"21,630"
            储能,"702,500","464,900","163,500","603,500","459,700","303,800","152,900","390,900","259,900","148,200","61,600","278,900","210,100","129,500","49,400","199,400","124,200","66,300","29,300","153,100","109,500","69,287","32,466","155,524","118,375","78,443","41,002","111,627","81,823","50,072","21,394","18,139",,,,,,,,
            服务及其他收入,"768,600","489,600","228,800","831,900","615,300","398,700","183,700","609,100","439,000","274,500","127,900","380,200","273,800","184,400","89,300","230,600","162,800","104,700","56,000","222,600","164,600","109,802","49,294","139,104","85,988","53,355","26,341","100,119","71,317","40,889","19,273","46,797","35,886","20,915","12,098","30,505","20,768","12,345","4,656",
            2014年之前产品分类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563
        地区,"7,198,300","4,680,100","2,130,100","9,677,300","7,160,600","4,825,600","2,332,900","8,146,200","5,714,400","3,569,000","1,875,600","5,382,300","3,610,400","2,234,700","1,038,900","3,153,600","2,079,200","1,202,100","598,500","2,457,800","1,719,400","1,089,114","454,146","2,146,127","1,423,540","741,098","340,875","1,175,875","847,050","548,583","269,627","700,013",,,,"404,603",,,,"319,836"
            美国,"3,560,200","2,301,800","976,200","4,523,500","3,347,200","2,257,900","1,124,700","4,055,300","2,858,400","1,834,800","873,400","2,397,300","1,604,300","962,900","442,400","1,520,700","1,007,300","585,800","276,800","1,265,300","893,700","580,957","232,957","1,487,151","924,878","411,583","184,445","622,144","438,039","279,825","127,521","420,071",,,,"195,740",,,,"147,164"
            中国大陆,"1,489,300","922,800","459,200","2,174,500","1,564,200","1,062,200","489,100","1,814,500","1,356,800","843,700","465,000","1,384,400","901,500","590,200","304,300","666,200","404,400","230,000","90,000","297,900","213,800","146,915","77,941","175,715","144,523","103,593","50,870","202,706","153,108","96,752","50,393","106,526",,,,"31,851",,,,"47,708"
            荷兰,,,,,,,,,,,,,,,,,,,,"159,000","78,800","36,145","11,335","96,560","62,684",,,,,,,,,,,,,,,
            挪威,,,,,,,,,,,,,,,,,,,,"120,100","104,900","79,643","41,606","81,273","61,122","38,674","16,232","82,308","48,297","25,750","13,540","33,557",,,,"35,642",,,,"41,220"
            其他地区,"2,148,800","1,455,500","694,700","2,979,300","2,249,200","1,505,500","719,100","2,276,400","1,499,200","890,500","537,200","1,600,600","1,104,600","681,600","292,200","966,700","667,500","386,300","231,700","615,500","428,200","245,454","90,307","305,429","230,333","187,248","89,328","268,717","207,606","146,255","78,173","139,860",,,,"141,370",,,,"83,743"
            2014年之前地区分类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    营业成本,"5,871,200","3,852,700","1,760,500","7,911,300","5,838,400","3,921,200","1,881,800","6,060,900","4,206,800","2,599,600","1,329,600","4,021,700","2,734,500","1,724,800","817,400","2,490,600","1,622,800","952,000","475,100","2,050,900","1,451,600","940,435","397,572","1,741,925","1,163,627","633,553","295,223","953,626","668,680","415,127","202,832","540,088","355,152","188,982","89,458","312,252","212,671","142,141","67,981","231,669"
        产品,"5,871,200","3,852,700","1,760,500","7,911,300","5,838,400","3,921,200","1,881,800","6,060,900","4,206,800","2,599,600","1,329,600","4,021,700","2,734,500","1,724,800","817,400","2,490,600","1,622,800","952,000","475,100","2,050,900","1,451,600","940,435","397,572","1,741,925","1,163,627","633,553","295,223","953,626","668,680","415,127","202,832","540,088","355,152","188,982","89,458","312,252","212,671","142,141","67,981","231,669"
            汽车销售,"4,560,200","2,985,900","1,389,700","6,512,100","4,791,900","3,226,300","1,542,200","4,959,900","3,416,600","2,106,700","1,091,400","3,241,500","2,172,600","1,357,600","645,700","1,969,600","1,277,400","741,300","369,900","1,593,900","1,112,400","710,997","285,621","1,368,557","902,706","462,114","209,140","672,448","472,485","296,923","149,665","426,809","320,566","168,860","77,932","282,330","192,686","129,813","63,175","231,001"
            汽车租赁,"76,100","51,400","26,900","126,800","97,200","67,100","33,300","150,900","115,700","77,600","40,800","97,800","58,200","34,800","16,000","56,300","41,500","27,000","12,200","45,900","34,000","22,341","11,709","48,843","36,069","24,141","10,450","70,822","51,668","34,146","16,603","48,199",,,,,,,,
